c_date,iso2,iso3,code3,FIPS,Province_State,Country_Region,Death
1/22/20,US,USA,840,1,Alabama,US,0
1/23/20,US,USA,840,1,Alabama,US,0
1/24/20,US,USA,840,1,Alabama,US,0
1/25/20,US,USA,840,1,Alabama,US,0
1/26/20,US,USA,840,1,Alabama,US,0
1/27/20,US,USA,840,1,Alabama,US,0
1/28/20,US,USA,840,1,Alabama,US,0
1/29/20,US,USA,840,1,Alabama,US,0
1/30/20,US,USA,840,1,Alabama,US,0
1/31/20,US,USA,840,1,Alabama,US,0
2/1/20,US,USA,840,1,Alabama,US,0
2/2/20,US,USA,840,1,Alabama,US,0
2/3/20,US,USA,840,1,Alabama,US,0
2/4/20,US,USA,840,1,Alabama,US,0
2/5/20,US,USA,840,1,Alabama,US,0
2/6/20,US,USA,840,1,Alabama,US,0
2/7/20,US,USA,840,1,Alabama,US,0
2/8/20,US,USA,840,1,Alabama,US,0
2/9/20,US,USA,840,1,Alabama,US,0
2/10/20,US,USA,840,1,Alabama,US,0
2/11/20,US,USA,840,1,Alabama,US,0
2/12/20,US,USA,840,1,Alabama,US,0
2/13/20,US,USA,840,1,Alabama,US,0
2/14/20,US,USA,840,1,Alabama,US,0
2/15/20,US,USA,840,1,Alabama,US,0
2/16/20,US,USA,840,1,Alabama,US,0
2/17/20,US,USA,840,1,Alabama,US,0
2/18/20,US,USA,840,1,Alabama,US,0
2/19/20,US,USA,840,1,Alabama,US,0
2/20/20,US,USA,840,1,Alabama,US,0
2/21/20,US,USA,840,1,Alabama,US,0
2/22/20,US,USA,840,1,Alabama,US,0
2/23/20,US,USA,840,1,Alabama,US,0
2/24/20,US,USA,840,1,Alabama,US,0
2/25/20,US,USA,840,1,Alabama,US,0
2/26/20,US,USA,840,1,Alabama,US,0
2/27/20,US,USA,840,1,Alabama,US,0
2/28/20,US,USA,840,1,Alabama,US,0
2/29/20,US,USA,840,1,Alabama,US,0
3/1/20,US,USA,840,1,Alabama,US,0
3/2/20,US,USA,840,1,Alabama,US,0
3/3/20,US,USA,840,1,Alabama,US,0
3/4/20,US,USA,840,1,Alabama,US,0
3/5/20,US,USA,840,1,Alabama,US,0
3/6/20,US,USA,840,1,Alabama,US,0
3/7/20,US,USA,840,1,Alabama,US,0
3/8/20,US,USA,840,1,Alabama,US,0
3/9/20,US,USA,840,1,Alabama,US,0
3/10/20,US,USA,840,1,Alabama,US,0
3/11/20,US,USA,840,1,Alabama,US,3
3/12/20,US,USA,840,1,Alabama,US,4
3/13/20,US,USA,840,1,Alabama,US,8
3/14/20,US,USA,840,1,Alabama,US,15
3/15/20,US,USA,840,1,Alabama,US,28
