c_date,iso2,iso3,code3,FIPS,Province_State,Country_Region,Population,Death
1/22/20,US,USA,840,1,Alabama,US,4903185,0
1/23/20,US,USA,840,1,Alabama,US,4903185,0
1/24/20,US,USA,840,1,Alabama,US,4903185,0
1/25/20,US,USA,840,1,Alabama,US,4903185,0
1/26/20,US,USA,840,1,Alabama,US,4903185,0
1/27/20,US,USA,840,1,Alabama,US,4903185,0
1/28/20,US,USA,840,1,Alabama,US,4903185,0
1/29/20,US,USA,840,1,Alabama,US,4903185,0
1/30/20,US,USA,840,1,Alabama,US,4903185,0
1/31/20,US,USA,840,1,Alabama,US,4903185,0
2/1/20,US,USA,840,1,Alabama,US,4903185,0
2/2/20,US,USA,840,1,Alabama,US,4903185,0
2/3/20,US,USA,840,1,Alabama,US,4903185,0
2/4/20,US,USA,840,1,Alabama,US,4903185,0
2/5/20,US,USA,840,1,Alabama,US,4903185,0
2/6/20,US,USA,840,1,Alabama,US,4903185,0
2/7/20,US,USA,840,1,Alabama,US,4903185,0
2/8/20,US,USA,840,1,Alabama,US,4903185,0
2/9/20,US,USA,840,1,Alabama,US,4903185,0
2/10/20,US,USA,840,1,Alabama,US,4903185,0
2/11/20,US,USA,840,1,Alabama,US,4903185,0
2/12/20,US,USA,840,1,Alabama,US,4903185,0
2/13/20,US,USA,840,1,Alabama,US,4903185,0
2/14/20,US,USA,840,1,Alabama,US,4903185,0
2/15/20,US,USA,840,1,Alabama,US,4903185,0
2/16/20,US,USA,840,1,Alabama,US,4903185,0
2/17/20,US,USA,840,1,Alabama,US,4903185,0
2/18/20,US,USA,840,1,Alabama,US,4903185,0
2/19/20,US,USA,840,1,Alabama,US,4903185,0
2/20/20,US,USA,840,1,Alabama,US,4903185,0
2/21/20,US,USA,840,1,Alabama,US,4903185,0
2/22/20,US,USA,840,1,Alabama,US,4903185,0
2/23/20,US,USA,840,1,Alabama,US,4903185,0
2/24/20,US,USA,840,1,Alabama,US,4903185,0
2/25/20,US,USA,840,1,Alabama,US,4903185,0
2/26/20,US,USA,840,1,Alabama,US,4903185,0
2/27/20,US,USA,840,1,Alabama,US,4903185,0
2/28/20,US,USA,840,1,Alabama,US,4903185,0
2/29/20,US,USA,840,1,Alabama,US,4903185,0
3/1/20,US,USA,840,1,Alabama,US,4903185,0
3/2/20,US,USA,840,1,Alabama,US,4903185,0
3/3/20,US,USA,840,1,Alabama,US,4903185,0
3/4/20,US,USA,840,1,Alabama,US,4903185,0
3/5/20,US,USA,840,1,Alabama,US,4903185,0
3/6/20,US,USA,840,1,Alabama,US,4903185,0
3/7/20,US,USA,840,1,Alabama,US,4903185,0
3/8/20,US,USA,840,1,Alabama,US,4903185,0
3/9/20,US,USA,840,1,Alabama,US,4903185,0
3/10/20,US,USA,840,1,Alabama,US,4903185,0
3/11/20,US,USA,840,1,Alabama,US,4903185,0
3/12/20,US,USA,840,1,Alabama,US,4903185,0
3/13/20,US,USA,840,1,Alabama,US,4903185,0
3/14/20,US,USA,840,1,Alabama,US,4903185,0
3/15/20,US,USA,840,1,Alabama,US,4903185,0
3/16/20,US,USA,840,1,Alabama,US,4903185,0
3/17/20,US,USA,840,1,Alabama,US,4903185,0
3/18/20,US,USA,840,1,Alabama,US,4903185,0
3/19/20,US,USA,840,1,Alabama,US,4903185,0
3/20/20,US,USA,840,1,Alabama,US,4903185,0
3/21/20,US,USA,840,1,Alabama,US,4903185,0
3/22/20,US,USA,840,1,Alabama,US,4903185,0
3/23/20,US,USA,840,1,Alabama,US,4903185,0
3/24/20,US,USA,840,1,Alabama,US,4903185,0
3/25/20,US,USA,840,1,Alabama,US,4903185,1
3/26/20,US,USA,840,1,Alabama,US,4903185,1
3/27/20,US,USA,840,1,Alabama,US,4903185,4
3/28/20,US,USA,840,1,Alabama,US,4903185,4
3/29/20,US,USA,840,1,Alabama,US,4903185,10
3/30/20,US,USA,840,1,Alabama,US,4903185,10
3/31/20,US,USA,840,1,Alabama,US,4903185,23
4/1/20,US,USA,840,1,Alabama,US,4903185,27
4/2/20,US,USA,840,1,Alabama,US,4903185,32
4/3/20,US,USA,840,1,Alabama,US,4903185,38
4/4/20,US,USA,840,1,Alabama,US,4903185,44
4/5/20,US,USA,840,1,Alabama,US,4903185,45
4/6/20,US,USA,840,1,Alabama,US,4903185,49
4/7/20,US,USA,840,1,Alabama,US,4903185,64
4/8/20,US,USA,840,1,Alabama,US,4903185,66
4/9/20,US,USA,840,1,Alabama,US,4903185,70
4/10/20,US,USA,840,1,Alabama,US,4903185,80
4/11/20,US,USA,840,1,Alabama,US,4903185,92
4/12/20,US,USA,840,1,Alabama,US,4903185,93
4/13/20,US,USA,840,1,Alabama,US,4903185,99
4/14/20,US,USA,840,1,Alabama,US,4903185,114
4/15/20,US,USA,840,1,Alabama,US,4903185,118
4/16/20,US,USA,840,1,Alabama,US,4903185,133
4/17/20,US,USA,840,1,Alabama,US,4903185,148
4/18/20,US,USA,840,1,Alabama,US,4903185,153
4/19/20,US,USA,840,1,Alabama,US,4903185,157
4/20/20,US,USA,840,1,Alabama,US,4903185,163
4/21/20,US,USA,840,1,Alabama,US,4903185,183
4/22/20,US,USA,840,1,Alabama,US,4903185,196
4/23/20,US,USA,840,1,Alabama,US,4903185,202
4/24/20,US,USA,840,1,Alabama,US,4903185,209
4/25/20,US,USA,840,1,Alabama,US,4903185,209
4/26/20,US,USA,840,1,Alabama,US,4903185,219
4/27/20,US,USA,840,1,Alabama,US,4903185,228
4/28/20,US,USA,840,1,Alabama,US,4903185,242
4/29/20,US,USA,840,1,Alabama,US,4903185,256
4/30/20,US,USA,840,1,Alabama,US,4903185,272
5/1/20,US,USA,840,1,Alabama,US,4903185,289
5/2/20,US,USA,840,1,Alabama,US,4903185,288
5/3/20,US,USA,840,1,Alabama,US,4903185,290
5/4/20,US,USA,840,1,Alabama,US,4903185,298
5/5/20,US,USA,840,1,Alabama,US,4903185,315
5/6/20,US,USA,840,1,Alabama,US,4903185,343
5/7/20,US,USA,840,1,Alabama,US,4903185,369
5/8/20,US,USA,840,1,Alabama,US,4903185,383
5/9/20,US,USA,840,1,Alabama,US,4903185,390
5/10/20,US,USA,840,1,Alabama,US,4903185,393
5/11/20,US,USA,840,1,Alabama,US,4903185,403
5/12/20,US,USA,840,1,Alabama,US,4903185,435
5/13/20,US,USA,840,1,Alabama,US,4903185,450
5/14/20,US,USA,840,1,Alabama,US,4903185,473
5/15/20,US,USA,840,1,Alabama,US,4903185,483
5/16/20,US,USA,840,1,Alabama,US,4903185,485
5/17/20,US,USA,840,1,Alabama,US,4903185,488
5/18/20,US,USA,840,1,Alabama,US,4903185,489
5/19/20,US,USA,840,1,Alabama,US,4903185,504
5/20/20,US,USA,840,1,Alabama,US,4903185,522
5/21/20,US,USA,840,1,Alabama,US,4903185,529
5/22/20,US,USA,840,1,Alabama,US,4903185,541
5/23/20,US,USA,840,1,Alabama,US,4903185,549
5/24/20,US,USA,840,1,Alabama,US,4903185,551
5/25/20,US,USA,840,1,Alabama,US,4903185,566
5/26/20,US,USA,840,1,Alabama,US,4903185,580
5/27/20,US,USA,840,1,Alabama,US,4903185,583
5/28/20,US,USA,840,1,Alabama,US,4903185,591
5/29/20,US,USA,840,1,Alabama,US,4903185,610
5/30/20,US,USA,840,1,Alabama,US,4903185,618
5/31/20,US,USA,840,1,Alabama,US,4903185,630
6/1/20,US,USA,840,1,Alabama,US,4903185,646
6/2/20,US,USA,840,1,Alabama,US,4903185,653
6/3/20,US,USA,840,1,Alabama,US,4903185,653
6/4/20,US,USA,840,1,Alabama,US,4903185,653
6/5/20,US,USA,840,1,Alabama,US,4903185,676
6/6/20,US,USA,840,1,Alabama,US,4903185,689
6/7/20,US,USA,840,1,Alabama,US,4903185,692
6/8/20,US,USA,840,1,Alabama,US,4903185,718
6/9/20,US,USA,840,1,Alabama,US,4903185,729
6/10/20,US,USA,840,1,Alabama,US,4903185,744
6/11/20,US,USA,840,1,Alabama,US,4903185,755
6/12/20,US,USA,840,1,Alabama,US,4903185,769
6/13/20,US,USA,840,1,Alabama,US,4903185,773
6/14/20,US,USA,840,1,Alabama,US,4903185,773
6/15/20,US,USA,840,1,Alabama,US,4903185,774
6/16/20,US,USA,840,1,Alabama,US,4903185,785
6/17/20,US,USA,840,1,Alabama,US,4903185,790
6/18/20,US,USA,840,1,Alabama,US,4903185,810
6/19/20,US,USA,840,1,Alabama,US,4903185,822
6/20/20,US,USA,840,1,Alabama,US,4903185,838
6/21/20,US,USA,840,1,Alabama,US,4903185,839
6/22/20,US,USA,840,1,Alabama,US,4903185,841
6/23/20,US,USA,840,1,Alabama,US,4903185,864
6/24/20,US,USA,840,1,Alabama,US,4903185,891
6/25/20,US,USA,840,1,Alabama,US,4903185,896
6/26/20,US,USA,840,1,Alabama,US,4903185,907
6/27/20,US,USA,840,1,Alabama,US,4903185,919
6/28/20,US,USA,840,1,Alabama,US,4903185,919
6/29/20,US,USA,840,1,Alabama,US,4903185,929
6/30/20,US,USA,840,1,Alabama,US,4903185,950
7/1/20,US,USA,840,1,Alabama,US,4903185,972
7/2/20,US,USA,840,1,Alabama,US,4903185,985
7/3/20,US,USA,840,1,Alabama,US,4903185,1006
7/4/20,US,USA,840,1,Alabama,US,4903185,1007
7/5/20,US,USA,840,1,Alabama,US,4903185,1007
7/6/20,US,USA,840,1,Alabama,US,4903185,1007
7/7/20,US,USA,840,1,Alabama,US,4903185,1033
7/8/20,US,USA,840,1,Alabama,US,4903185,1058
7/9/20,US,USA,840,1,Alabama,US,4903185,1068
7/10/20,US,USA,840,1,Alabama,US,4903185,1104
7/11/20,US,USA,840,1,Alabama,US,4903185,1114
7/12/20,US,USA,840,1,Alabama,US,4903185,1121
7/13/20,US,USA,840,1,Alabama,US,4903185,1124
7/14/20,US,USA,840,1,Alabama,US,4903185,1164
7/15/20,US,USA,840,1,Alabama,US,4903185,1211
7/16/20,US,USA,840,1,Alabama,US,4903185,1230
7/17/20,US,USA,840,1,Alabama,US,4903185,1265
7/18/20,US,USA,840,1,Alabama,US,4903185,1286
7/19/20,US,USA,840,1,Alabama,US,4903185,1287
7/20/20,US,USA,840,1,Alabama,US,4903185,1291
7/21/20,US,USA,840,1,Alabama,US,4903185,1303
7/22/20,US,USA,840,1,Alabama,US,4903185,1364
7/23/20,US,USA,840,1,Alabama,US,4903185,1397
7/24/20,US,USA,840,1,Alabama,US,4903185,1438
7/25/20,US,USA,840,1,Alabama,US,4903185,1456
7/26/20,US,USA,840,1,Alabama,US,4903185,1473
7/27/20,US,USA,840,1,Alabama,US,4903185,1491
7/28/20,US,USA,840,1,Alabama,US,4903185,1491
7/29/20,US,USA,840,1,Alabama,US,4903185,1538
7/30/20,US,USA,840,1,Alabama,US,4903185,1565
7/31/20,US,USA,840,1,Alabama,US,4903185,1580
8/1/20,US,USA,840,1,Alabama,US,4903185,1603
8/2/20,US,USA,840,1,Alabama,US,4903185,1627
8/3/20,US,USA,840,1,Alabama,US,4903185,1633
8/4/20,US,USA,840,1,Alabama,US,4903185,1666
8/5/20,US,USA,840,1,Alabama,US,4903185,1695
8/6/20,US,USA,840,1,Alabama,US,4903185,1714
8/7/20,US,USA,840,1,Alabama,US,4903185,1735
8/8/20,US,USA,840,1,Alabama,US,4903185,1755
8/9/20,US,USA,840,1,Alabama,US,4903185,1768
8/10/20,US,USA,840,1,Alabama,US,4903185,1797
8/11/20,US,USA,840,1,Alabama,US,4903185,1847
8/12/20,US,USA,840,1,Alabama,US,4903185,1882
8/13/20,US,USA,840,1,Alabama,US,4903185,1890
8/14/20,US,USA,840,1,Alabama,US,4903185,1893
8/15/20,US,USA,840,1,Alabama,US,4903185,1896
8/16/20,US,USA,840,1,Alabama,US,4903185,1898
8/17/20,US,USA,840,1,Alabama,US,4903185,1925
8/18/20,US,USA,840,1,Alabama,US,4903185,1936
8/19/20,US,USA,840,1,Alabama,US,4903185,1944
8/20/20,US,USA,840,1,Alabama,US,4903185,1974
8/21/20,US,USA,840,1,Alabama,US,4903185,1996
8/22/20,US,USA,840,1,Alabama,US,4903185,2011
8/23/20,US,USA,840,1,Alabama,US,4903185,2013
8/24/20,US,USA,840,1,Alabama,US,4903185,2024
8/25/20,US,USA,840,1,Alabama,US,4903185,2037
8/26/20,US,USA,840,1,Alabama,US,4903185,2045
8/27/20,US,USA,840,1,Alabama,US,4903185,2076
8/28/20,US,USA,840,1,Alabama,US,4903185,2107
8/29/20,US,USA,840,1,Alabama,US,4903185,2152
8/30/20,US,USA,840,1,Alabama,US,4903185,2162
8/31/20,US,USA,840,1,Alabama,US,4903185,2182
9/1/20,US,USA,840,1,Alabama,US,4903185,2200
9/2/20,US,USA,840,1,Alabama,US,4903185,2217
9/3/20,US,USA,840,1,Alabama,US,4903185,2233
9/4/20,US,USA,840,1,Alabama,US,4903185,2266
9/5/20,US,USA,840,1,Alabama,US,4903185,2275
9/6/20,US,USA,840,1,Alabama,US,4903185,2276
9/7/20,US,USA,840,1,Alabama,US,4903185,2276
9/8/20,US,USA,840,1,Alabama,US,4903185,2277
9/9/20,US,USA,840,1,Alabama,US,4903185,2285
9/10/20,US,USA,840,1,Alabama,US,4903185,2301
9/11/20,US,USA,840,1,Alabama,US,4903185,2333
9/12/20,US,USA,840,1,Alabama,US,4903185,2350
9/13/20,US,USA,840,1,Alabama,US,4903185,2351
9/14/20,US,USA,840,1,Alabama,US,4903185,2355
9/15/20,US,USA,840,1,Alabama,US,4903185,2387
9/16/20,US,USA,840,1,Alabama,US,4903185,2392
9/17/20,US,USA,840,1,Alabama,US,4903185,2401
9/18/20,US,USA,840,1,Alabama,US,4903185,2428
9/19/20,US,USA,840,1,Alabama,US,4903185,2437
9/20/20,US,USA,840,1,Alabama,US,4903185,2437
9/21/20,US,USA,840,1,Alabama,US,4903185,2439
9/22/20,US,USA,840,1,Alabama,US,4903185,2457
9/23/20,US,USA,840,1,Alabama,US,4903185,2488
9/24/20,US,USA,840,1,Alabama,US,4903185,2506
9/25/20,US,USA,840,1,Alabama,US,4903185,2491
9/26/20,US,USA,840,1,Alabama,US,4903185,2501
9/27/20,US,USA,840,1,Alabama,US,4903185,2501
9/28/20,US,USA,840,1,Alabama,US,4903185,2501
9/29/20,US,USA,840,1,Alabama,US,4903185,2517
9/30/20,US,USA,840,1,Alabama,US,4903185,2540
10/1/20,US,USA,840,1,Alabama,US,4903185,2548
10/2/20,US,USA,840,1,Alabama,US,4903185,2550
10/3/20,US,USA,840,1,Alabama,US,4903185,2558
10/4/20,US,USA,840,1,Alabama,US,4903185,2558
10/5/20,US,USA,840,1,Alabama,US,4903185,2559
10/6/20,US,USA,840,1,Alabama,US,4903185,2580
10/7/20,US,USA,840,1,Alabama,US,4903185,2601
10/8/20,US,USA,840,1,Alabama,US,4903185,2637
10/9/20,US,USA,840,1,Alabama,US,4903185,2653
10/10/20,US,USA,840,1,Alabama,US,4903185,2664
10/11/20,US,USA,840,1,Alabama,US,4903185,2664
10/12/20,US,USA,840,1,Alabama,US,4903185,2665
10/13/20,US,USA,840,1,Alabama,US,4903185,2665
10/14/20,US,USA,840,1,Alabama,US,4903185,2706
10/15/20,US,USA,840,1,Alabama,US,4903185,2756
10/16/20,US,USA,840,1,Alabama,US,4903185,2786
10/17/20,US,USA,840,1,Alabama,US,4903185,2788
10/18/20,US,USA,840,1,Alabama,US,4903185,2788
10/19/20,US,USA,840,1,Alabama,US,4903185,2789
10/20/20,US,USA,840,1,Alabama,US,4903185,2805
10/21/20,US,USA,840,1,Alabama,US,4903185,2828
10/22/20,US,USA,840,1,Alabama,US,4903185,2843
10/23/20,US,USA,840,1,Alabama,US,4903185,2859
10/24/20,US,USA,840,1,Alabama,US,4903185,2866
10/25/20,US,USA,840,1,Alabama,US,4903185,2866
10/26/20,US,USA,840,1,Alabama,US,4903185,2866
10/27/20,US,USA,840,1,Alabama,US,4903185,2892
10/28/20,US,USA,840,1,Alabama,US,4903185,2911
10/29/20,US,USA,840,1,Alabama,US,4903185,2914
10/30/20,US,USA,840,1,Alabama,US,4903185,2932
10/31/20,US,USA,840,1,Alabama,US,4903185,2967
11/1/20,US,USA,840,1,Alabama,US,4903185,2973
11/2/20,US,USA,840,1,Alabama,US,4903185,2973
11/3/20,US,USA,840,1,Alabama,US,4903185,2987
11/4/20,US,USA,840,1,Alabama,US,4903185,3006
11/5/20,US,USA,840,1,Alabama,US,4903185,3026
11/6/20,US,USA,840,1,Alabama,US,4903185,3049
11/7/20,US,USA,840,1,Alabama,US,4903185,3082
11/8/20,US,USA,840,1,Alabama,US,4903185,3084
11/9/20,US,USA,840,1,Alabama,US,4903185,3084
11/10/20,US,USA,840,1,Alabama,US,4903185,3120
11/11/20,US,USA,840,1,Alabama,US,4903185,3201
11/12/20,US,USA,840,1,Alabama,US,4903185,3213
11/13/20,US,USA,840,1,Alabama,US,4903185,3231
11/14/20,US,USA,840,1,Alabama,US,4903185,3246
11/15/20,US,USA,840,1,Alabama,US,4903185,3248
11/16/20,US,USA,840,1,Alabama,US,4903185,3249
11/17/20,US,USA,840,1,Alabama,US,4903185,3301
11/18/20,US,USA,840,1,Alabama,US,4903185,3347
11/19/20,US,USA,840,1,Alabama,US,4903185,3419
11/20/20,US,USA,840,1,Alabama,US,4903185,3451
11/21/20,US,USA,840,1,Alabama,US,4903185,3457
11/22/20,US,USA,840,1,Alabama,US,4903185,3457
11/23/20,US,USA,840,1,Alabama,US,4903185,3459
11/24/20,US,USA,840,1,Alabama,US,4903185,3472
11/25/20,US,USA,840,1,Alabama,US,4903185,3532
11/26/20,US,USA,840,1,Alabama,US,4903185,3572
11/27/20,US,USA,840,1,Alabama,US,4903185,3572
11/28/20,US,USA,840,1,Alabama,US,4903185,3572
11/29/20,US,USA,840,1,Alabama,US,4903185,3577
11/30/20,US,USA,840,1,Alabama,US,4903185,3578
12/1/20,US,USA,840,1,Alabama,US,4903185,3638
12/2/20,US,USA,840,1,Alabama,US,4903185,3711
12/3/20,US,USA,840,1,Alabama,US,4903185,3776
12/4/20,US,USA,840,1,Alabama,US,4903185,3831
12/5/20,US,USA,840,1,Alabama,US,4903185,3877
12/6/20,US,USA,840,1,Alabama,US,4903185,3889
12/7/20,US,USA,840,1,Alabama,US,4903185,3892
12/8/20,US,USA,840,1,Alabama,US,4903185,3942
12/9/20,US,USA,840,1,Alabama,US,4903185,3985
12/10/20,US,USA,840,1,Alabama,US,4903185,4034
